Treaty of Küçük Kaynarca (1774)	Treaty of Küçük Kaynarca
Treaty of Lausanne (1923)	Treaty of Lausanne
Treaty of San Stefano (1878)	Treaty of San Stefano
Treaty of Sèvres (1920)	Treaty of Sèvres
Unionist trials (1919-1920)	Turkish courts-martial of 1919–1920
University reform of 1933	tr:1933 Üniversite Reformu
Young Turk Revolution (1908)	Young Turk Revolution
Yıldız assassination attempt (1905)	Yıldız assassination attempt
İzmir assassination plot (1926)	tr:İzmir Suikastı
Ahrar Party	Liberty Party (Ottoman Empire)
Armenian revolutionary committees	Armenian Revolutionary Federation
Baghdad Railway	Baghdad Railway
Committee of Union and Progress	Committee of Union and Progress
Düyun-u Umumiye	Ottoman Public Debt Administration
English Friendship Society	tr:İngiliz Muhipler Cemiyeti
Filiki Eterya	Filiki Eteria
Freedom and Accord Party	Freedom and Accord Party
Hamidiye Regiments	Hamidiye (cavalry)
Hejaz Railway	Hejaz railway
Heyet-i Temsiliye	tr:Heyet-i Temsiliye
Hilal-i Ahmer	Turkish Red Crescent
Istanbul Independence Tribunals	Independence Tribunal
Janissaries	Janissary
Kuva-yı Milliye	Kuva-yi Milliye
Kürt Teali Cemiyeti	Society for the Rise of Kurdistan
Macedonian committees	Internal Macedonian Revolutionary Organization
Müdafaa-i Hukuk societies	Association for Defence of National Rights
Ottoman Bank	Ottoman Bank
Ottoman Navy	Ottoman Navy
Ottoman Parliament	General Assembly of the Ottoman Empire
Ottoman War Academy	Ottoman Military College
Progressive Republican Party	Progressive Republican Party (Turkey)
Red Army	Red Army
Republican People's Party	Republican People's Party
Sublime Porte	Sublime Porte
Teşkilat-ı Mahsusa	Special Organization (Ottoman Empire)
Tobacco Régie	tr:Reji İdaresi
Türk Ocağı	Turkish Hearths
Young Ottomans	Young Ottomans
Young Turks	Young Turks
Yıldırım Army Group	Yildirim Army Group
Abbas Hilmi Paşa	Abbas II of Egypt
Abdullah Cevdet	Abdullah Cevdet
Abdülaziz	Abdulaziz
Abdülhamid II	Abdul Hamid II
Abdülmecid Efendi	Abdulmejid II
Abdülmecid I	Abdulmejid I
Adolphus Slade	Adolphus Slade
Afet İnan	Afet İnan
Ahmed Cevdet Paşa	Ahmed Cevdet Pasha
Ahmed Midhat Efendi	Ahmet Mithat
Ahmed Rıza	Ahmet Rıza
Ahmed Vefik Paşa	Ahmed Vefik Pasha
Ahmed İzzet Paşa	Ahmet İzzet Pasha
Ahmet Anzavur	Ahmet Anzavur
Ahmet Emin Yalman	Ahmet Emin Yalman
Alexander Gorchakov	Alexander Gorchakov
Alexander II of Russia	Alexander II of Russia
Alexander Suvorov	Alexander Suvorov
Alexei Orlov	Alexei Grigoryevich Orlov
Ali Fuat Cebesoy	Ali Fuat Cebesoy
Ali Kemal	Ali Kemal Bey
Ali Rıza Paşa	Ali Rıza Pasha
Ali İhsan Paşa	Ali İhsan Sâbis
Ali Şükrü Bey	Ali Şükrü Bey
Andranik	Andranik
Arthur Calthorpe	Somerset Gough-Calthorpe
Aziz Ali el-Mısri	Aziz Ali al-Misri
Bahaeddin Şakir	Bahaeddin Şakir
Baltacı Mehmed Paşa	Baltacı Mehmed Pasha
Barbaros Hayreddin	Hayreddin Barbarossa
Bekir Sami	Bekir Sami Kunduh
Benjamin Disraeli	Benjamin Disraeli
Boghos Nubar	Boghos Nubar
Boğazlıyan Kaymakamı Kemal Bey	tr:Mehmed Kemal
Cafer Tayyar	Cafer Tayyar Eğilmez
Cafer el-Askeri	Ja'far al-Askari
Catherine the Great	Catherine the Great
Cavid Bey	Mehmed Cavid
Celal Bayar	Celâl Bayar
Cemal Paşa	Djemal Pasha
Charles S. Ryan	Charles Ryan (surgeon)
Charles Townshend	Charles Townshend (British Army officer)
Charles XII of Sweden	Charles XII of Sweden
Colmar von der Goltz	Colmar Freiherr von der Goltz
Damat Ferit Paşa	Damat Ferid Pasha
David Lloyd George	David Lloyd George
Dimitrie Cantemir	Dimitrie Cantemir
Doktor Nazım	Mehmed Nazım
Ebüzziya Tevfik	Ebüzziya Tevfik
Edmund Allenby	Edmund Allenby, 1st Viscount Allenby
Edward Grey	Edward Grey, 1st Viscount Grey of Fallodon
Eleftherios Venizelos	Eleftherios Venizelos
Emir Abdullah	Abdullah I of Jordan
Emmanuel Karasu	Emmanuel Carasso
Enver Paşa	Enver Pasha
Erich Ludendorff	Erich Ludendorff
Erich von Falkenhayn	Erich von Falkenhayn
Esat Paşa	Mehmet Esat Bülkat
Evliya Çelebi	Evliya Çelebi
Fahreddin Paşa	Fahreddin Pasha
Fatih Sultan Mehmed	Mehmed II
Faysal	Faisal I of Iraq
Fethi Okyar	Ali Fethi Okyar
Fevzi Çakmak	Fevzi Çakmak
Fuad Paşa	Keçecizade Mehmed Fuad Pasha
Gazi Ahmed Muhtar Paşa	Ahmed Muhtar Pasha
Gazi Osman Paşa	Osman Nuri Pasha
George Milne	George Milne, 1st Baron Milne
Georgy Chicherin	Georgy Chicherin
Gertrude Bell	Gertrude Bell
Giovanni Giolitti	Giovanni Giolitti
Grigory Potemkin	Grigory Potemkin
Guido von Usedom	Guido von Usedom
Hafız Hakkı Paşa	Hafiz Hakki Pasha
Halide Edib	Halide Edib Adıvar
Halil Kut	Halil Kut
Halil Menteşe	Halil Menteşe
Hamdullah Suphi	Hamdullah Suphi Tanrıöver
Hans von Wangenheim	Hans Freiherr von Wangenheim
Hayreddin Paşa	Hayreddin Pasha
Helmuth von Moltke	Helmuth von Moltke the Elder
Henry McMahon	Henry McMahon
Henry Morgenthau	Henry Morgenthau Sr.
Hobart Paşa	Augustus Charles Hobart-Hampden
Hürrem Sultan	Hurrem Sultan
Hüseyin Avni Paşa	Hüseyin Avni Pasha
Hüseyin Cahit	Hüseyin Cahit Yalçın
Hüseyin Hilmi Paşa	Hüseyin Hilmi Pasha
Kaiser Wilhelm II	Wilhelm II
Kamil Paşa	Kâmil Pasha
Kanuni Sultan Süleyman	Suleiman the Magnificent
Kara Kemal	Kara Kemal
Kara Vasıf	tr:Mustafa Vasıf Karakol
Kavalalı Mehmed Ali Paşa	Muhammad Ali of Egypt
King Ferdinand of Bulgaria	Ferdinand I of Bulgaria
Klemens von Metternich	Klemens von Metternich
Kress von Kressenstein	Friedrich Freiherr Kress von Kressenstein
Kâzım Karabekir	Kâzım Karabekir
Kâzım Özalp	Kâzım Özalp
Köprülü family	Köprülü family
Kösem Sultan	Kösem Sultan
Küçük Said Paşa	Mehmed Said Pasha
Kılıç Ali	Kılıç Ali
Lajos Kossuth	Lajos Kossuth
Latife Hanım	Latife Uşaki
Leon Trotsky	Leon Trotsky
Liman von Sanders	Otto Liman von Sanders
Lord Curzon	George Curzon, 1st Marquess Curzon of Kedleston
Lord Kitchener	Herbert Kitchener, 1st Earl Kitchener
Lord Salisbury	Robert Gascoyne-Cecil, 3rd Marquess of Salisbury
Mahmud II	Mahmud II
Mahmud Nedim Paşa	Mahmud Nedim Pasha
Mahmud Şevket Paşa	Mahmud Şevket Pasha
Mark Sykes	Mark Sykes
Mazhar Müfit Kansu	Mazhar Müfit Kansu
Mehmed Akif	Mehmet Akif Ersoy
Mehmed V Reşad	Mehmed V
Mehmed VI Vahdettin	Mehmed VI
Merzifonlu Kara Mustafa Paşa	Merzifonlu Kara Mustafa Pasha
Midhat Paşa	Midhat Pasha
Mikhail Frunze	Mikhail Frunze
Mikhail Skobelev	Mikhail Skobelev
Mizancı Murad	tr:Mizancı Murad
Murad V	Murad V
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Mustafa Reşid Paşa	Mustafa Reşid Pasha
Mustafa Sabri Efendi	Mustafa Sabri
Mustafa Suphi	Mustafa Suphi
Naciye Sultan	Naciye Sultan
Namık Kemal	Namık Kemal
Napoleon Bonaparte	Napoleon
Napoleon III	Napoleon III
Nazım Paşa	Nazım Pasha
Nemrut Mustafa Paşa	Nemrut Mustafa Pasha
Nicholas I of Russia	Nicholas I of Russia
Nicholas II of Russia	Nicholas II
Nikolay Ignatiev	Nikolay Pavlovich Ignatyev
Nuri Conker	Nuri Conker
Nuri Killigil	Nuri Killigil
Nuri Said	Nuri al-Said
Osman Hamdi Bey	Osman Hamdi Bey
Otto von Bismarck	Otto von Bismarck
Paul von Hindenburg	Paul von Hindenburg
Peter the Great	Peter the Great
Prens Sabahaddin	Prince Sabahaddin
Prince Menshikov	Alexander Sergeyevich Menshikov
Rahmi Bey	tr:Rahmi Arslan
Rauf Orbay	Rauf Orbay
Refet Bele	Refet Bele
Refik Halid	Refik Halit Karay
Resneli Niyazi	Ahmed Niyazi Bey
Rıza Nur	Rıza Nur
Rıza Tevfik	Rıza Tevfik Bölükbaşı
Said Halim Paşa	Said Halim Pasha
Sait Molla	tr:Sait Molla
Salih Bozok	Salih Bozok
Salih Hulusi Paşa	Salih Hulusi Kezrak
Samuel S. Cox	Samuel S. Cox
Selim III	Selim III
Semyon Aralov	Semyon Aralov
Sergey Sazonov	Sergey Sazonov
Soghomon Tehlirian	Soghomon Tehlirian
Sokullu Mehmed Paşa	Sokollu Mehmed Pasha
Stratford Canning	Stratford Canning, 1st Viscount Stratford de Redcliffe
Süleyman Hüsnü Paşa	Süleyman Hüsnü Pasha
T. E. Lawrence	T. E. Lawrence
Talat Paşa	Talaat Pasha
Tekin Alp	Munis Tekinalp
Tevfik Fikret	Tevfik Fikret
Tevfik Paşa	Ahmet Tevfik Pasha
Topal Osman	Topal Osman
Vehip Paşa	Wehib Pasha
Vladimir Lenin	Vladimir Lenin
Voltaire	Voltaire
Wilhelm Souchon	Wilhelm Souchon
William Gladstone	William Ewart Gladstone
Winston Churchill	Winston Churchill
Woodrow Wilson	Woodrow Wilson
Yahya Kaptan	tr:Yahya Kaptan
Yakup Cemil	Yakub Cemil
Yavuz Sultan Selim	Selim I
Yunus Nadi	Yunus Nadi Abalıoğlu
Yusuf Akçura	Yusuf Akçura
Yusuf Kemal Tengirşenk	Yusuf Kemal Tengirşenk
Ziya Gökalp	Ziya Gökalp
Ziya Paşa	Ziya Pasha
Zübeyde Hanım	Zübeyde Hanım
Âli Paşa	Mehmed Emin Âli Pasha
Çerkez Ethem	Çerkes Ethem
Ömer Paşa	Omar Pasha
İbn Suud	Ibn Saud
İbrahim Müteferrika	Ibrahim Muteferrika
İsmet İnönü	İsmet İnönü
Şehzade Yusuf İzzeddin	Şehzade Yusuf Izzeddin
Şemsi Paşa	Şemsi Pasha
Şerif Hüseyin	Hussein bin Ali, Sharif of Mecca
Şinasi	İbrahim Şinasi
Anna Grosser-Rilke	-
Faik Tonguç	-
Gustav von Hochwächter	-
Mehmet Turgut Argun	-
Mehmet Şevki Yazman	-
İbrahim Sorguç	-
Informants and spies (jurnal system)	-
Adana	Adana
Afyon	Afyonkarahisar
Amasya	Amasya
Anadolu	Anatolia
Ankara	Ankara
Antep	Gaziantep
Arnavutluk	Albania
Atina	Athens
Azak	Azov
Bakü	Baku
Basra	Basra
Batum	Batumi
Bağdat	Baghdad
Belgrad	Belgrade
Berlin	Berlin
Beyoğlu and Galata	Beyoğlu
Beyrut	Beirut
Bitlis	Bitlis
Boğazlar	Turkish Straits
Bulgaristan	Bulgaria
Bursa	Bursa
Cezayir	Regency of Algiers
Diyarbakır	Diyarbakır
Dolmabahçe Sarayı	Dolmabahçe Palace
Edirne	Edirne
Erzurum	Erzurum
Eskişehir	Eskişehir
Filistin	Palestine (region)
Girit	Crete
Halep	Aleppo
Hicaz	Hejaz
Hindistan	British Raj
Irak	Ottoman Iraq
Kadıköy and Kızıltoprak	Kadıköy
Kafkasya	Caucasus
Kars	Kars
Kastamonu	Kastamonu
Kilikya	Cilicia
Konya	Konya
Kudüs	Jerusalem
Kütahya	Kütahya
Kıbrıs	Cyprus
Kırım	Crimea
Londra	London
Lübnan	Mount Lebanon Mutasarrifate
Makedonya	Macedonia (region)
Malta	Malta
Manastır	Bitola
Maraş	Kahramanmaraş
Medine	Medina
Mekke	Mecca
Moskova	Moscow
Musul	Mosul
Mısır	Khedivate of Egypt
Paris	Paris
Rumeli	Rumelia
Samsun	Samsun
Sarıkamış	Sarıkamış
Selanik	Thessaloniki
Silistre	Silistra
Sivas	Sivas
Sofya	Sofia
St. Petersburg	Saint Petersburg
Suriye	Ottoman Syria
Süveyş Kanalı	Suez Canal
Sırbistan	Serbia
Tiflis	Tbilisi
Topkapı Sarayı	Topkapı Palace
Trablusgarp	Ottoman Tripolitania
Trabzon	Trabzon
Trakya	Thrace
Tuna	Danube
Tunus	Beylik of Tunis
Urfa	Şanlıurfa
Van	Van, Turkey
Venedik	Venice
Viyana	Vienna
Yemen	Yemen Vilayet
Yeşilköy (Ayastefanos)	Yeşilköy
Yunanistan	Kingdom of Greece
Yıldız Sarayı	Yıldız Palace
Çanakkale and Gelibolu	Gallipoli
Üsküdar	Üsküdar
Üsküp	Skopje
İran	Qajar Iran
İstanbul	Istanbul
İzmir	İzmir
İzmit	İzmit
Şam	Damascus
Şıpka	Shipka Pass
