100. Yılında Jön Türk Devrimi (Sina Akşin): 685 sections, 38 chapters, 2 corrections
Kumandanım Galiçya Ne Yana Düşer (M. Şevki Yazman): 369 sections, 32 chapters, 24 corrections
Kılıç Ali'nin Anıları (Kılıç Ali): 786 sections, 47 chapters, 288 corrections
Kırım Savaşı ve Osmanlılar (Candan Badem): 505 sections, 6 chapters, 28 corrections
Kısa Türkiye Tarihi (Sina Akşin): 254 sections, 0 chapters, 0 corrections
Kızıltoprak Anıları (Nezih H. Neyzi): 460 sections, 33 chapters, 28 corrections
Mahşerin İki Gemisi - Part I (Video transcript): 22 sections, 0 chapters, 0 corrections
Mahşerin İki Gemisi - Part II (Video transcript): 20 sections, 0 chapters, 0 corrections
Neden Biz (Video transcript): 16 sections, 0 chapters, 0 corrections
Osmanlı Arap Coğrafyası ve Avrupa Emperyalizmi (Ali Akyıldız): 607 sections, 15 chapters, 113 corrections
Osmanlı Ortadoğu'sunu Yeniden Düşünmek (Cem Emrence): 177 sections, 10 chapters, 35 corrections
Osmanlı Piyadesi 1914-1918 (David Nicolle): 67 sections, 10 chapters, 72 corrections
Osmanlı İmparatorluğu Tarihi (Robert Mantran): 993 sections, 15 chapters, 73 corrections
Osmanlı'da Milletler ve Diplomasi (İlber Ortaylı): 243 sections, 0 chapters, 0 corrections
Sivas Kongresi (Mahmut Goloğlu): 206 sections, 0 chapters, 0 corrections
Son Meşrutiyet (Sina Akşin): 595 sections, 0 chapters, 0 corrections
Son Osmanlılar (Murat Bardakçı): 199 sections, 22 chapters, 7 corrections
Sultanın Paşaları (Olivier Bouquet): 629 sections, 10 chapters, 91 corrections
Talât Paşa'nın Evrak-ı Metrukesi (Murat Bardakçı): 153 sections, 0 chapters, 11 corrections
Tarih Boyunca Türk Atasözleri (Aydın Oy): 413 sections, 0 chapters, 53 corrections
The Armenian File (Kâmuran Gürün): 436 sections, 11 chapters, 0 corrections
Turfanda mı Yoksa Turfa mı (Mizancı Murat): 181 sections, 0 chapters, 3 corrections
Türkiye'de Beş Yıl (Liman von Sanders): 488 sections, 25 chapters, 17 corrections
Türkiye'de Milli İktisat (Zafer Toprak): 746 sections, 19 chapters, 46 corrections
Türkiye'nin Modernleşmesi (Arnold Reisman): 439 sections, 0 chapters, 0 corrections
Vatan Yahut Silistre (Namık Kemal): 81 sections, 8 chapters, 18 corrections
Zabit ve Kumandan ile Hasbihal (Mustafa Kemal): 204 sections, 25 chapters, 3 corrections
Çanakkale'yi Almanlar mı Kazandı (Video transcript): 17 sections, 0 chapters, 0 corrections
Çariçe Katerina (Robert K. Massie): 697 sections, 5 chapters, 23 corrections
İntibah (Namık Kemal): 99 sections, 0 chapters, 0 corrections
İstanbul'da Hoş Bir Sada (Anna Grosser-Rilke): 326 sections, 27 chapters, 11 corrections
İstanbul'da Ramazan (François Georgeon): 296 sections, 11 chapters, 32 corrections
İstiklal Harbi ve Anadolu (Mehmet Turgut Argun): 244 sections, 6 chapters, 3 corrections
İttihad ve Terakki Yargılamaları I (Erol Şadi Erdinç): 461 sections, 2 chapters, 56 corrections
İttihad ve Terakki Yargılamaları III (Erol Şadi Erdinç): 1035 sections, 29 chapters, 77 corrections
İç Savaş ve Sevr'de Ölüm (Sina Akşin): 453 sections, 11 chapters, 71 corrections
Şair Evlenmesi (Şinasi): 24 sections, 0 chapters, 2 corrections
CONVERT-DONE
